"","model","negL","mu1_error","mu2_error","plinear_error"
"1","homo",2.58679379136264,6.26572697231716,2.668757271402,3.33043659174653
"2","glm_cp",1.89782252295982,0.777478642387169,0.323338452916598,3.24395302687136
"3","glm_vp",1.76982329535861,0.802765031840438,0.325973444850902,1.26666243735648
"4","boosting_cp",1.74923129883168,0.246102479080871,0.106185802574938,3.22418368494936
"5","boosting_vp",1.64070059966824,0.233357794489806,0.110528310821916,0.843549742721409
