"","model","negL"
"1","homo",3.33758305464969
"2","glm_mu",3.2302354343925
"3","glm_p",3.30264150209373
"4","glm_both",3.19056264584756
"5","bst_mu",3.12263719692226
"6","bst_p",2.88666208935952
"7","bst_both",2.89154403758467
