"","mu","shape","scale","rate"
"1",76.9623,100.9862,0.7621,1.3122
"2",591.9509,595.9625,0.9933,1.0068
"3",1171.4158,999.9999,1.1714,0.8537
"4",1541.9479,1.0414,1480.6865,7e-04
