"","mu","shape","scale","rate"
"1",76.8669,105.425,0.7291,1.3715
"2",591.4168,637.3526,0.9279,1.0777
"3",1171.4591,999.9999,1.1715,0.8536
"4",1533.405,1.0388,1476.088,7e-04
