"","mu","shape","scale","rate"
"1",76.8732,105.5032,0.7286,1.3724
"2",592.5894,653.7621,0.9064,1.1032
"3",1171.3807,999.9999,1.1714,0.8537
"4",1533.9321,1.0386,1476.9511,7e-04
